
Date,"Flight number",From,To,"Dep time","Arr time",Duration,Airline,Aircraft,Registration,"Seat number","Seat type","Flight class","Flight reason",Note,Dep_id,Arr_id,Airline_id,Aircraft_id
2023-04-16,AI157,"Delhi / Indira Gandhi (DEL/VIDP)","Copenhagen / Kastrup (CPH/EKCH)",14:20:00,18:45:00,08:20:00,"Air India (AI/AIC)","Boeing 787-8 (B788)",VT-ANT,33J,1,1,1,,689,606,43,2087
2023-05-02,W64572,"Copenhagen / Kastrup (CPH/EKCH)","Larnaca / Larnaca (LCA/LCLK)",09:50:00,15:00:00,04:10:00,"Wizz Air (W6/WZZ)","Airbus A321LR (A21N)",HA-LZT,22F,1,1,1,,606,1572,859,2181
2023-05-09,W64571,"Larnaca / Larnaca (LCA/LCLK)","Copenhagen / Kastrup (CPH/EKCH)",05:45:00,09:20:00,04:35:00,"Wizz Air (W6/WZZ)","Airbus A321LR (A21N)",HA-LZT,4D,3,1,1,,1572,606,859,2181
2023-04-01,UK155,"Delhi / Indira Gandhi (DEL/VIDP)","Kathmandu / Tribhuvan (KTM/VNKT)",14:00:00,16:00:00,02:05:00,"Vistara (UK/VTI)","Airbus A320neo (A20N)",VT-TQE,23F,1,1,1,,689,1515,2079,2127
2023-04-15,UK156,"Kathmandu / Tribhuvan (KTM/VNKT)","Delhi / Indira Gandhi (DEL/VIDP)",17:00:00,18:45:00,01:30:00,"Vistara (UK/VTI)","Airbus A320neo (A20N)",VT-TNX,24F,1,1,1,,1515,689,2079,2127
2023-07-22,AY1985,"Copenhagen / Kastrup (CPH/EKCH)","Doha / Hamad International (DOH/OTHH)",16:05:00,23:20:00,07:15:00,"Finnair (AY/FIN)","Airbus A330-300 (A333)",OH-LTO,57L,1,1,1,,606,5259,304,31
2023-07-23,QR1487,"Doha / Hamad International (DOH/OTHH)","Zanzibar / Kisauni (ZNZ/HTZA)",02:05:00,07:55:00,06:00:00,"Qatar Airways (QR/QTR)","Airbus A320 (A320)",A7-AHP,26A,1,1,1,,5259,3542,634,27
2023-08-06,QR1499,"Kilimanjaro / Kilimanjaro (JRO/HTKJ)","Doha / Hamad International (DOH/OTHH)",18:15:00,23:55:00,05:40:00,"Qatar Airways (QR/QTR)","Airbus A330-200 (A332)",A4O-DJ,43K,1,1,1,,1358,5259,634,30
2023-08-07,AY1986,"Doha / Hamad International (DOH/OTHH)","Copenhagen / Kastrup (CPH/EKCH)",08:05:00,13:50:00,05:55:00,"Finnair (AY/FIN)","Airbus A330-300 (A333)",OH-LTT,58A,1,1,1,,5259,606,304,31
2023-04-14,U4374,"Bharatpur / Bharatpur (BHR/VNBP)","Kathmandu / Tribhuvan (KTM/VNKT)",14:35:00,14:57:00,00:22:00,"Buddha Air (U4/BHA)","ATR 42-320 (AT43)",9N-AIT,9B,3,1,1,,3825,1515,1218,147
2023-04-24,KL1342,"Billund / Billund (BLL/EKBI)","Amsterdam / Schiphol (AMS/EHAM)",10:05:00,11:15:00,01:10:00,"KLM Royal Dutch Airlines (KL/KLM)","Embraer ERJ-190 (E190)",PH-EZW,8A,1,1,2,,345,122,440,655
2023-04-26,KL1349,"Amsterdam / Schiphol (AMS/EHAM)","Billund / Billund (BLL/EKBI)",21:35:00,22:45:00,01:10:00,"KLM Royal Dutch Airlines (KL/KLM)","Boeing 737-800 (B738)",PH-BXC,26A,1,1,2,,122,345,440,231
2023-08-22,LH843,"Billund / Billund (BLL/EKBI)","Frankfurt am Main / Frankfurt (FRA/EDDF)",06:20:00,07:45:00,01:25:00,"Lufthansa (LH/DLH)","Airbus A320 (A320)",D-AIZF,19A,1,1,2,,345,919,239,27
2023-08-22,LH440,"Frankfurt am Main / Frankfurt (FRA/EDDF)","Houston / George Bush Intercontinental (IAH/KIAH)",10:00:00,13:35:00,10:35:00,"Lufthansa (LH/DLH)","Boeing 747-8 (B748)",D-ABYM,41K,1,1,2,,919,1204,239,2104
